direccion,localidad,provincia,idproducto,producto,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud
RUTA NAC. 188 KM. 110,rojas,buenos aires,6,gnc,12,2016-06-01 11:58:00,2,ypf,-34.20008,-60.71635
RUTA 22 KM 1266,cutral co,neuquen,6,gnc,10,2016-06-30 00:00:00,2,ypf,-38.92993,-69.22744
RUTA 9 KM 1285,banda del rio sali,tucuman,6,gnc,11,2016-08-01 09:42:00,2,ypf,-26.87972,-65.16572
RUTA 66 Y CAMINO VECINAL KM 61,carlos pellegrini,santa fe,6,gnc,12,2017-01-01 11:35:00,1,blanca,-32.039376,-61.783955
RUTA 8 KM 649,sampacho,cordoba,6,gnc,13,2017-01-11 00:15:00,2,ypf,-33.39122,-64.72264
Avenida Bme Mitre 4708,caseros,buenos aires,6,gnc,8,2017-01-11 14:00:00,2,ypf,-34.61018,-58.56254
AVDA. MÁXIMO NOUGUES Y RUTA NAC. 50,oran,salta,6,gnc,11,2017-01-12 00:00:00,2,ypf,-23.1291,-64.33266
Monteagudo 2000,san salvador de jujuy,jujuy,6,gnc,12,2017-01-12 00:00:00,2,ypf,-24.21024,-65.28306
72 1194,la plata,buenos aires,6,gnc,8,2017-01-20 16:39:00,2,ypf,-34.94264,-57.93944
RUTA NACIONAL 151 KM 126,catriel,rio negro,6,gnc,12,2017-02-02 00:00:00,2,ypf,-37.90167,-67.86101
Pueyrredon 301,villa ballester,buenos aires,6,gnc,9,2017-02-06 12:13:00,2,ypf,-34.5499,-58.55158
ANZORENA Y FAUSTO ARENAS,rivadavia,mendoza,6,gnc,11,2017-02-09 22:19:00,1,blanca,-33.19527,-68.4616
PERALTA RAMOS 619,mar del plata,buenos aires,6,gnc,10,2017-02-10 16:21:00,1,blanca,-37.987989922269,-57.5452249901772
MORENO 2777,esperanza,santa fe,6,gnc,9,2017-02-10 16:53:00,1,blanca,-31.44257,-60.930525
Rawson (sur) 745,san juan,san juan,6,gnc,9,2017-02-10 21:23:00,2,ypf,-31.54251,-68.51454
24 DE SET. ESQ. SARMIENTO (NO),monteros,tucuman,6,gnc,10,2017-02-14 18:01:00,2,ypf,-27.16553,-65.49512
DON BOSCO 1395,bahia blanca,buenos aires,6,gnc,10,2017-02-28 15:35:00,1,blanca,-38.718778,-62.297998
DON BOSCO 1395,bahia blanca,buenos aires,6,gnc,10,2017-02-28 15:37:00,1,blanca,-38.718778,-62.297998
JUAN MANUEL DE ROSAS 7888,isidro casanova,buenos aires,6,gnc,10,2017-03-01 12:04:00,2,ypf,-34.71207,-58.59002
JUAN MANUEL DE ROSAS 7888,isidro casanova,buenos aires,6,gnc,10,2017-03-01 12:09:00,2,ypf,-34.71207,-58.59002
BV DE LOS ALEMANES 4282,cordoba,cordoba,6,gnc,11,2017-03-01 18:13:00,2,ypf,-31.3432,-64.22535
BV DE LOS ALEMANES 4282,cordoba,cordoba,6,gnc,11,2017-03-01 18:16:00,2,ypf,-31.3432,-64.22535
RUTA NACIONAL 38 KM 29,bialet masse,cordoba,6,gnc,11,2017-03-08 11:21:00,2,ypf,-31.300502,-64.465189
DONATO ALVAREZ 8600,cordoba,cordoba,6,gnc,11,2017-03-08 11:26:00,2,ypf,-31.32395,-64.26948
RUTA NAC. Nº 5 Km 158.800,chivilcoy,buenos aires,6,gnc,12,2017-03-09 13:17:00,2,ypf,-34.92013,-59.98665
RUTA NAC. Nº 5 Km 158.800,chivilcoy,buenos aires,6,gnc,12,2017-03-09 13:19:00,2,ypf,-34.92013,-59.98665
SAN MARTIN 38,oncativo,cordoba,6,gnc,11,2017-03-10 17:08:00,1,blanca,-31.907892,-63.687693
