localidad,provincia,idproducto,producto,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud
rojas,buenos aires,6,gnc,12,2016-06-01 11:58:00,2,ypf,-34.20008,-60.71635
rojas,buenos aires,6,gnc,12,2016-06-01 11:58:00,2,ypf,-34.20008,-60.71635
cutral co,neuquen,6,gnc,10,2016-06-30 00:00:00,2,ypf,-38.92993,-69.22744
cutral co,neuquen,6,gnc,10,2016-06-30 00:00:00,2,ypf,-38.92993,-69.22744
banda del rio sali,tucuman,6,gnc,11,2016-08-01 09:42:00,2,ypf,-26.87972,-65.16572
banda del rio sali,tucuman,6,gnc,11,2016-08-01 09:42:00,2,ypf,-26.87972,-65.16572
carlos pellegrini,santa fe,6,gnc,12,2017-01-01 11:35:00,1,blanca,-32.039376,-61.783955
carlos pellegrini,santa fe,6,gnc,12,2017-01-01 11:35:00,1,blanca,-32.039376,-61.783955
sampacho,cordoba,6,gnc,13,2017-01-11 00:15:00,2,ypf,-33.39122,-64.72264
sampacho,cordoba,6,gnc,13,2017-01-11 00:15:00,2,ypf,-33.39122,-64.72264
caseros,buenos aires,6,gnc,8,2017-01-11 14:00:00,2,ypf,-34.61018,-58.56254
caseros,buenos aires,6,gnc,8,2017-01-11 14:00:00,2,ypf,-34.61018,-58.56254
oran,salta,6,gnc,11,2017-01-12 00:00:00,2,ypf,-23.1291,-64.33266
oran,salta,6,gnc,11,2017-01-12 00:00:00,2,ypf,-23.1291,-64.33266
san salvador de jujuy,jujuy,6,gnc,12,2017-01-12 00:00:00,2,ypf,-24.21024,-65.28306
san salvador de jujuy,jujuy,6,gnc,12,2017-01-12 00:00:00,2,ypf,-24.21024,-65.28306
la plata,buenos aires,6,gnc,8,2017-01-20 16:39:00,2,ypf,-34.94264,-57.93944
la plata,buenos aires,6,gnc,8,2017-01-20 16:39:00,2,ypf,-34.94264,-57.93944
catriel,rio negro,6,gnc,12,2017-02-02 00:00:00,2,ypf,-37.90167,-67.86101
catriel,rio negro,6,gnc,12,2017-02-02 00:00:00,2,ypf,-37.90167,-67.86101
villa ballester,buenos aires,6,gnc,9,2017-02-06 12:13:00,2,ypf,-34.5499,-58.55158
villa ballester,buenos aires,6,gnc,9,2017-02-06 12:13:00,2,ypf,-34.5499,-58.55158
rivadavia,mendoza,6,gnc,11,2017-02-09 22:19:00,1,blanca,-33.19527,-68.4616
rivadavia,mendoza,6,gnc,11,2017-02-09 22:19:00,1,blanca,-33.19527,-68.4616
mar del plata,buenos aires,6,gnc,10,2017-02-10 16:21:00,1,blanca,-37.987989922269,-57.5452249901772
mar del plata,buenos aires,6,gnc,10,2017-02-10 16:21:00,1,blanca,-37.987989922269,-57.5452249901772
esperanza,santa fe,6,gnc,9,2017-02-10 16:53:00,1,blanca,-31.44257,-60.930525
esperanza,santa fe,6,gnc,9,2017-02-10 16:53:00,1,blanca,-31.44257,-60.930525
san juan,san juan,6,gnc,9,2017-02-10 21:23:00,2,ypf,-31.54251,-68.51454
san juan,san juan,6,gnc,9,2017-02-10 21:23:00,2,ypf,-31.54251,-68.51454
monteros,tucuman,6,gnc,10,2017-02-14 18:01:00,2,ypf,-27.16553,-65.49512
monteros,tucuman,6,gnc,10,2017-02-14 18:01:00,2,ypf,-27.16553,-65.49512
bahia blanca,buenos aires,6,gnc,10,2017-02-28 15:35:00,1,blanca,-38.718778,-62.297998
bahia blanca,buenos aires,6,gnc,10,2017-02-28 15:37:00,1,blanca,-38.718778,-62.297998
